"","cell","cells","clinical","development","drug","marketing","new","patients","stem","treatment"
"359",-0.823731771521296,-0.66078261430393,-0.690268489962633,1.4318111588738,-0.45305977298226,-0.699472476203634,-0.707106781186547,-0.666225678948284,-0.165144564768954,-0.248660533797992
"429",-0.480510200054089,-0.66078261430393,-0.690268489962633,-0.890044774435066,-0.45305977298226,1.63210244447515,-0.707106781186547,-0.862174408050721,-0.165144564768954,0.165773689198661
"598",0.549154514347531,-0.66078261430393,1.15044748327106,-0.116092796665443,-0.45305977298226,-0.699472476203634,-0.707106781186547,-0.470276949845848,-0.165144564768954,2.65237902717858
"599",2.26526237168356,1.22716771227873,0.230089496654211,-0.116092796665443,-0.104552255303598,0.854910804248886,-0.707106781186547,0.901364153871208,2.80745760107222,-0.248660533797992
"612",-0.823731771521296,-0.66078261430393,-0.690268489962633,-0.890044774435066,2.68350788612569,-0.699472476203634,0.707106781186547,-0.666225678948284,-0.495433694306862,-0.663094756794645
"629",0.549154514347531,-0.66078261430393,-0.690268489962633,-0.890044774435066,-0.45305977298226,-0.699472476203634,2.12132034355964,-0.862174408050721,-0.495433694306862,-0.663094756794645
"662",-0.137288628586883,-0.66078261430393,2.0708054698879,-0.890044774435066,0.592462780053724,0.077719164022626,0.707106781186547,1.88110779938339,-0.495433694306862,0.165773689198661
"685",-0.823731771521296,0.283192548987399,-0.690268489962633,0.657859181104179,-0.45305977298226,0.854910804248886,-0.707106781186547,0.705415424768772,-0.495433694306862,0.165773689198661
"688",0.549154514347531,2.17114287557006,0.690268489962633,1.81878714775861,-0.45305977298226,0.854910804248886,0.707106781186547,0.901364153871208,-0.165144564768954,-0.663094756794645
"93",-0.823731771521296,0.283192548987399,-0.690268489962633,-0.116092796665443,-0.45305977298226,-1.47666411642989,-0.707106781186547,-0.862174408050721,-0.165144564768954,-0.663094756794645
