"","lhs","op","rhs","label","exo","est","se","z","pvalue"
"1","stemcell","=~","cell","",0,1,0,NA,NA
"2","stemcell","=~","cells","",0,0.153316629411045,0.222645699046798,0.688612580738959,0.491067101905424
"3","stemcell","=~","stem","",0,0.445630789238374,0.394167491930069,1.13056200311271,0.258239487800112
"4","medical","=~","clinical","",0,1,0,NA,NA
"5","medical","=~","drug","",0,0.02028059177199,0.082699068060622,0.245233619284844,0.806275546566546
"6","medical","=~","treatment","",0,0.1015891852928,0.360762899990639,0.281595433719587,0.778253741941456
"7","service","=~","marketing","",0,1,0,NA,NA
"8","service","=~","patients","",0,6.71432777138561,16.4357694039322,0.408519224526186,0.682892519532883
"9","stemcell","~","medical","c",0,0.0731507983510552,0.247178792175753,0.295942858637493,0.767273719789593
"10","service","~","stemcell","a",0,0.0116072002410283,0.0409549762869769,0.283413672607088,0.776859748653034
"11","medical","~","service","b",0,1.5920376327781,1.24998579165556,1.27364458332722,0.202789404322611
"12","cell","~~","cell","",0,-0.708773445123451,1.26173381048671,-0.561745622755439,0.574289345505385
"13","cells","~~","cells","",0,0.862184179405986,0.379144636732042,2.27402446421873,0.0229645156532485
"14","stem","~~","stem","",0,0.580518800786242,0.351806299187605,1.65010917123082,0.0989206093029202
"15","clinical","~~","clinical","",0,-3.23727985865614,12.6582079065746,-0.255745511730354,0.798147350190577
"16","drug","~~","drug","",0,0.898298395876372,0.401080890069907,2.23969383263262,0.0251108062371106
"17","treatment","~~","treatment","",0,0.857301779529804,0.404149685118642,2.12124816892567,0.0339009236172534
"18","marketing","~~","marketing","",0,0.840121322318208,0.393064992773052,2.13735982029638,0.0325687367981315
"19","patients","~~","patients","",0,-1.79946158182324,5.26863448730554,-0.341542307814091,0.732695360450182
"20","stemcell","~~","stemcell","",0,1.58235101969961,1.25859369771289,1.25723736148929,0.208667698175258
"21","medical","~~","medical","",0,3.97475230568001,12.548750267076,0.31674487268334,0.751437197046324
"22","service","~~","service","",0,0.0595008436970362,0.182934550871434,0.325257549290693,0.744986156334654
"23","ab",":=","a*b","ab",0,0.0184790995949081,0.0593742134404007,0.311231063523178,0.755624969612157
"24","total",":=","c+(a*b)","total",0,0.0916298979459633,0.236892534791841,0.386799432183369,0.698904697620355
