"","lhs","op","rhs","exo","est","se","z","pvalue"
"1","stemcell","=~","cell",0,1,0,NA,NA
"2","stemcell","=~","cells",0,0.0557447243901474,0.0809521646553439,0.688613141198658,0.491066749115717
"3","stemcell","=~","stem",0,0.463079793369081,0.409600889113087,1.13056344768146,0.25823887948762
"4","medical","=~","clinical",0,1,0,NA,NA
"5","medical","=~","drug",0,0.0267789491442386,0.10919804739162,0.245232857032695,0.80627613673994
"6","medical","=~","treatment",0,0.112802121197076,0.40058375054613,0.281594350852447,0.778254572358775
"7","service","=~","marketing",0,1,0,NA,NA
"8","service","=~","patients",0,26.6311144980088,65.1895922425981,0.40851788731709,0.682893501055345
"9","service","~","medical",0,0.0135953105088919,0.0563290015309057,0.241355432182348,0.809279651749123
"10","service","~","stemcell",0,0.00493856376718313,0.0173708966758382,0.284301027134216,0.776179699068141
"11","medical","~","stemcell",0,0.153884074545627,0.189920130626788,0.810256785511718,0.417792606753723
"12","cell","~~","cell",0,-6.01668769187472,10.7106928103201,-0.561745892485819,0.574289161704621
"13","cells","~~","cells",0,0.96756214411034,0.425484486689184,2.27402449297087,0.0229645139246222
"14","stem","~~","stem",0,5.32142002761425,3.22488909528767,1.65010946745118,0.0989205487279434
"15","clinical","~~","clinical",0,-15.2872146285924,59.7753118056245,-0.25574462377215,0.798148035883952
"16","drug","~~","drug",0,7.39598978712196,3.30223253614721,2.23969381506701,0.0251108073782618
"17","treatment","~~","treatment",0,4.99140269764987,2.3530500619552,2.12124798292749,0.0339009392614313
"18","marketing","~~","marketing",0,1.39086783261837,0.650741107922819,2.13735972060848,0.0325687449000389
"19","patients","~~","patients",0,-46.8661302715996,137.219470868049,-0.341541400612646,0.73269604328143
"20","stemcell","~~","stemcell",0,13.6566866722118,10.5788773056658,1.29093913064836,0.196724785199687
"21","medical","~~","medical",0,19.213819496868,59.1103648582681,0.325049922174191,0.745143288918422
"22","service","~~","service",0,0.0949057480003991,0.284760347117563,0.333282877904406,0.738920762749001
